Postcode,Median_Income
2217,42869.42857
2218,40035.28571
2219,46773.71429
2220,34570.14286
2221,45135.42857
2222,41263.57143
2223,47823.28571
2224,44466.42857
2225,51789.14286
2226,51098.14286
2227,49348
2228,46350.85714
2229,48700.57143
2230,51413.71429
2231,46336
2232,48805
2233,48178.71429
2234,49024.71429
2250,41343.57143
2251,40332.71429
2256,38797
2257,37623.28571
2258,43703.71429
2259,40061.57143
2260,42566.28571
2261,39787.85714
2262,38658.42857
2263,37566.14286
2264,37547.14286
2265,39125.57143
2267,37924.28571
2278,43278
2280,41895.85714
2281,39468.57143
2282,43703.42857
2283,39511.14286
2284,41260.57143
2285,44279.28571
2286,42364.42857
2287,42911.71429
2289,44968.85714
2290,43130.14286
2291,49854.14286
2292,45518.42857
2293,45851
2294,44544
2295,44067.42857
2296,44494
2297,42562.57143
2298,41903
2299,40846.14286
2300,49064.14286
2302,47716.57143
2303,43971.28571
2304,42475
2305,47548.42857
2306,34127.14286
2307,38467.85714
2311,31295
2312,31112.85714
2315,34785.57143
2316,35944
2317,34264.28571
2318,43325.85714
2319,36532.28571
2320,43892.85714
2321,44634.28571
2322,43842.85714
2323,43406.42857
2324,38010.14286
2325,39019.57143
2326,39965.14286
2327,39204.42857
2328,41764.85714
2329,35178.71429
2330,46924.57143
2333,46464.28571
2334,44315.42857
2335,46197
2336,44095.42857
2337,40798.85714
2338,33344.85714
2339,30416.28571
2340,40272.71429
2341,33849
2342,33234.28571
2343,35840.85714
2344,36251
2345,37136.28571
2346,33658
2347,29948.71429
2350,38044.14286
2352,38528.57143
2353,37280.14286
2354,31994.14286
2355,29676
2357,33538.28571
2358,33472.14286
2359,27518.57143
2360,36070.42857
2361,24403.71429
2365,31678.14286
2369,32920.14286
2370,31081
2371,26163.42857
2372,28050.57143
2379,27987
2380,40540.42857
2381,37525.42857
2382,35548.42857
2386,28803.14286
2388,36976.42857
2390,40864
2395,26529
2396,31279.85714
2397,35922.14286
2399,40589.14286
2400,42252.85714
2402,33004.28571
2403,27445.14286
2404,29791
2405,36235.85714
2406,38788.28571
2408,43627.42857
2409,32399.85714
2415,35790
2420,33163.42857
2421,40339.42857
2422,29812
2423,30586
2424,23417.4
2425,35842.42857
2426,32947.85714
2427,29753.14286
2428,31993.28571
2429,32709.85714
2430,34428.42857
2431,31261.28571
2439,33123.28571
2440,33619.85714
2441,31605.42857
2443,30391.57143
2444,36344.57143
2445,34933.85714
2446,34475.14286
2447,31714.71429
2448,31793.28571
2449,27452
2450,36178.42857
2452,36288.42857
2453,27335.57143
2454,31695.42857
2455,33853.85714
2456,32726.57143
2460,35054
2462,30039
2463,32449
2464,30998.42857
2465,34464.66667
2466,27845.71429
2469,26589.85714
2470,35690.85714
2471,32484.71429
2472,33498.42857
2473,35128.42857
2474,29785.85714
2476,27440.85714
2477,35501.42857
2478,35882.85714
2479,33284
2480,35274.71429
2481,31052.57143
2482,28358.14286
2483,31446.14286
2484,32838.85714
2485,34584
2486,35848.28571
2487,38280.14286
2488,35880.14286
2489,35464.42857
2490,35833.14286
2500,40500.28571
2502,36990.14286
2505,40701
2506,39320.42857
2508,48148.14286
2515,48508.42857
2516,49155.71429
2517,45468.71429
2518,41996.42857
2519,41380.57143
2520,42151.5
2525,43985.71429
2526,43494.28571
2527,42724
2528,38817.42857
2529,43001.57143
2530,41702.85714
2533,40167.42857
2534,39713.57143
2535,36220.85714
2536,33497.71429
2537,34079.71429
2538,32855.42857
2539,31307
2540,35618.28571
2541,37820
2545,31921.71429
2546,29748
2548,34551.57143
2549,35031.28571
2550,35354.57143
2551,34573.42857
2556,41923.14286
2557,47156.57143
2558,45101.71429
2559,35134.42857
2560,43695.85714
2564,40768.57143
2565,44484.28571
2566,43296.28571
2567,49759.57143
2568,42209.85714
2569,45568.42857
2570,48547.85714
2571,47616.85714
2572,44285.71429
2573,43192.57143
2574,43165.14286
